Garbage,Team,Apps,Won,Season(s)
adfa,New York Yankees,40,27,"1921, 1922, 1923W, 1926, 1927W, 1928W, 1932W, 1936W, 1937W, 1938, 1939, 1941W, 1942, 1943W, 1947W, 194W9, 1950W, 1951W, 1952W, 1953W, 1955, 1956W, 1957, 1958W, 1960, 1961W, 1962W, 1963, 1964, 1976, 1977W, 1978W, 1981, 1996W, 1998W, 1999W, 2000W, 2001, 2003, 2009W"
adfa,San Francisco Giants,20,8,"1905, 1911, 1912, 1913, 1917, 1921W, 1922W, 1923, 1924, 1933W, 1936, 1937, 1951, 1954W, 1962, 1989, 2002, 2010W, 2012W, 2014W"
adfa,Los Angeles Dodgers,20,6,"1916, 1920, 1941, 1947, 1949, 1952, 1953, 1955W, 1956, 1959W, 1963W, 1965W, 1966, 1974, 1977, 1978, 1981W, 1988W, 2017, 2018"
adfa,St. Louis Cardinals,19,11,"1926W, 1928, 1930, 1931W, 1934W, 1942W, 1943, 1944W, 1946W, 1964W, 1967W, 1968, 1982W, 1985, 1987, 2004, 2006W, 2011W, 2013"
adfa,Oakland Athletics,14,9,"1905, 1910W, 1911W, 1913W, 1914, 1929W, 1930W, 1931, 1972W, 1973W, 1974W, 1988, 1989W, 1990"
adfa,Boston Red Sox,13,9,"1903W, 1912W, 1915W, 1916W, 1918W, 1946, 1967, 1975, 1986, 2004W, 2007W, 2013W, 2018W"
adfa,Detroit Tigers,11,4,"1907, 1908, 1909, 1934, 1935W, 1940, 1945W, 1968W, 1984W, 2006, 2012"
adfa,Chicago Cubs,11,3,"1906, 1907W, 1908W, 1910, 1918, 1929, 1932, 1935, 1938, 1945, 2016W"
adfa,Cincinnati Reds,9,5,"1919W, 1939, 1940W, 1961, 1970, 1972, 1975W, 1976W, 1990W"
adfa,Atlanta Braves,9,3,"1914W, 1948, 1957W, 1958, 1991, 1992, 1995W, 1996, 1999"
adfa,Pittsburgh Pirates,7,5,"1903, 1909W, 1925W, 1927, 1960W, 1971W, 1979W"
adfa,Baltimore Orioles,7,3,"1944, 1966W, 1969, 1970W, 1971, 1979, 1983W"
adfa,Philadelphia Phillies,7,2,"1915, 1950, 1980W, 1983, 1993, 2008W, 2009"
adfa,Minnesota Twins,6,3,"1924W, 1925, 1933, 1965, 1987W, 1991W"
adfa,Cleveland Indians,6,2,"1920W, 1948W, 1954, 1995, 1997, 2016"
adfa,Chicago White Sox,5,3,"1906W, 1917W, 1919, 1959, 2005W"
adfa,New York Mets,5,2,"1969W, 1973, 1986W, 2000, 2015"
adfa,Kansas City Royals,4,2,"1980, 1985W, 2014, 2015W"
adfa,Miami Marlins,2,2,"1992W, 1993W"
adfa,Toronto Blue Jays,2,2,"1997W, 2003W"
adfa,Houston Astros,2,1,"2005, 2017W"
adfa,Texas Rangers,2,0,"1984, 1998"
adfa,San Diego Padres,2,0,"2010, 2011"
adfa,Los Angeles Angels,1,1,2001W
adfa,Arizona Diamondbacks,1,1,2002W
adfa,Tampa Bay Rays,1,0,1982
adfa,Colorado Rockies,1,0,2007
adfa,Milwaukee Brewers,1,0,2008
adfa,Seattle Mariners,0,0,
adfa,Washington Nationals,0,0,
